file,error,candidate_1_latin,candidate_1_common,candidate_1_score,candidate_1_curriculum_id,candidate_2_latin,candidate_2_common,candidate_2_score,candidate_2_curriculum_id,candidate_3_latin,candidate_3_common,candidate_3_score,candidate_3_curriculum_id
2026-08-09_08-12-25_657.jpg,,Prunus cerasifera,"Cherry plum, myrobalan",0.870,,Corylus maxima,Giant filbert,0.051,,Cornus sanguinea,Common dogwood,0.006,
2026-08-09_08-12-34_471.jpg,,Prunus cerasifera,"Cherry plum, myrobalan",0.806,,Prunus × cistena,Purple leaf sand cherry,0.079,pru-cis,Prunus virginiana,Chokecherry,0.019,
2026-08-09_08-12-44_836.jpg,,Prunus cerasifera,"Cherry plum, myrobalan",0.838,,Cercis canadensis,Eastern Redbud,0.028,cer-can,Cercis siliquastrum,Judas tree,0.013,
2026-08-09_08-12-52_582.jpg,,Prunus × yedoensis,Yoshino cherry,0.809,pru-cis,Prunus cerasus,Sour cherry,0.054,,Prunus serrulata,Japanese flowering cherry,0.046,pru-ser
2026-08-09_08-12-58_306.jpg,,Prunus × yedoensis,Yoshino cherry,0.814,pru-cis,Prunus avium,Wild cherry,0.032,,Prunus serrulata,Japanese flowering cherry,0.031,pru-ser
2026-08-09_08-13-07_161.jpg,,Prunus × yedoensis,Yoshino cherry,0.840,pru-cis,Prunus serrulata,Japanese flowering cherry,0.032,pru-ser,Prunus campanulata,Taiwan cherry,0.031,
2026-08-09_08-13-45_311.jpg,,Quercus palustris,Pin Oak,0.648,que-pal,Quercus ellipsoidalis,Hill's oak,0.193,,Liquidambar styraciflua,Sweetgum,0.037,liq-sty
2026-08-09_08-13-51_633.jpg,,Quercus palustris,Pin Oak,0.655,que-pal,Quercus coccinea,Scarlet Oak,0.060,,Quercus ellipsoidalis,Hill's oak,0.059,
2026-08-09_08-13-57_249.jpg,,Quercus phellos,Willow oak,0.318,que-phe,Quercus palustris,Pin Oak,0.168,que-pal,Quercus velutina,Black oak,0.143,
2026-08-09_08-14-06_056.jpg,,Acer platanoides,Norway maple,0.396,ace-pla,Liquidambar styraciflua,Sweetgum,0.061,liq-sty,Acer pseudoplatanus,Sycamore maple,0.057,
2026-08-09_08-14-12_699.jpg,,Acer saccharum,Sugar maple,0.159,ace-sac,Acer cappadocicum,Cappadocian maple,0.144,,Acer pictum,Painted Maple,0.141,
2026-08-09_08-14-17_871.jpg,,Liquidambar styraciflua,Sweetgum,0.177,liq-sty,Koelreuteria paniculata,Goldenrain tree,0.067,koe-pan,Acer saccharum,Sugar maple,0.063,ace-sac
